naslov	opis
The Land Before Time III: The Time of the Great Giving (1995)	A nearby meteorite crash blocks off the dinosaurs' water supply, starting an ecological chain-reaction that threatens life in the valley. All the dinosaurs, including a group of stupid ... See full summary »
Street Fighter (1994)	Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts.
Coldblooded (1995)	Cosmo, an affectless mob bookie who lives in the basement of a retirement home, is promoted to hitman. He learns his new trade from Steve, a seasoned killer. He falls in love with a yoga ... See full summary »
The Next Karate Kid (1994)	Mr. Miyagi is back and he takes a new pupil under his wing; a troubled adolescent girl.
ATM (2012)	On a late night visit to an ATM, three co-workers end up in a desperate fight for their lives when they become trapped by an unknown man.
The Turning (2013)	A collection of short films based on stories by Australian writer Tim Winton.
Klub srecnih zensk (1993)	The life histories of four Asian women and their daughters reflect and guide each other.
Highlander III: The Sorcerer (1994)	Deceived that he had won the Prize, Connor MacLeod awakens from a peaceful life when an entombed immortal magician comes seeking the Highlander.
Gilligan's Island: The Untold Tales (13 Jul. 2003)	Add a Plot
Mi vida loca (1993)	Mousie and Sad Girl are childhood best friends in a contemporary Los Angeles poor Hispanic neighborhood. But when Sad Girl becomes pregnant by Mousie's boyfriend, a drug dealer named ... See full summary »
Suture (1993)	Brothers Vincent (rich) and Clay (poor) meet up for the first time after their father's funeral and remark on how similar they look. But unknown to Clay, who thinks his life is taking a ... See full summary »
The Walking Dead (2010– )	Sheriff's Deputy Rick Grimes leads a group of survivors in a world overrun by zombies.
I Like It Like That (1994)	Lisette and husband Chino face marital difficulties. She is fed up with the kids, while he has job troubles. His mother Rosaria hates Lisette and the neighborhood tramp has designs on Chino... See full summary »
I'll Do Anything (1994)	Matt Hobbs is a talented but unsuccessful actor. When estranged (and strange) ex-wife Beth dumps their daughter Jeannie on Matt, father and daughter have a lot of adjusting to do. His ... See full summary »
Grace of My Heart (1996)	An aspiring singer, Denise Waverly/Edna Buxton, sacrifices her own singing career to write hit songs that launch the careers of other singers. The film follows her life from her first break... See full summary »
Drunks (1995)	At the beginning of a nightly Alcoholics Anonymous meeting, Jim seems particularly troubled. His sponsor encourages him to talk that night, the first time in seven months, so he does - and ... See full summary »
Predmestje (1996)	A group of suburban teenagers try to support each other through the difficult task of becoming adults.
Sliding Doors (1998)	A London woman's love life and career both hinge, unknown to her, on whether or not she catches a train. We see it both ways, in parallel.
Ill Gotten Gains (1997)	WEST AFRICA 1869 - Slave trade is illegal. There is a revolt on a slave ship - twenty four men fight for their lives. Out-gunned, the revolt fails but a second uprising is planned.
Legal Deceit (1997)	Sydney Banks learns the hard way that being driven and educated is not the path to success. With the help of Todd Hunter her career takes off. Sydney gets pulled into corporate blackmail ... See full summary »
Almighty Thor (2011)	When a demon god steals the Hammer of Invincibility, Thor strikes a mighty blow to get it back.
Men of Means (1999)	In a world where two men in close proximity will eventually draw guns, Rico "BULLET" Burke finds himself at a crossroads. Having long ago ruined his brilliant collegiate football career ... See full summary »
Shooting Fish (1997)	Two con artists' plan to steal enough for a house are twisted when a pretty girl enters the picture.
Steal Big Steal Little (1995)	Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So... See full summary »
Mr. Jones (2013)	A young couple moves to the woods and soon finds their nightmares and reality colliding.
House Party 3 (1994)	Come to a new House Party, where Kid, after a lifetime 'playing the field', falls in love and is about to get married. 'Play' plans to throw the rockin'est bachelor party ever - until '... See full summary »
Panther (1995)	A dramatized account of the story of The Black Panther Party of Self-Defense.
Jason's Lyric (1994)	The story of a young man who must confront his own fears about love as well as his relationships with family and friends. Allen Payne (I) plays Jason, a sales clerk at a T.V. store. He ... See full summary »
Above the Rim (1994)	Story of a promising high school basketball star and his relationships with two brothers, one a drug dealer and the other a former basketball star fallen on hard times and now employed as a security guard.
Mesecina in Valentino (1995)	A young widow still grieving over the death of her husband finds herself being comforted by a local housepainter.
Skrlatno znamenje (1995)	An affair between a young woman and a pastor has disastrous consequences.
8 Seconds (1994)	This film chronicles the life of Lane Frost, 1987 PRCA Bull Riding World Champion, his marriage and his friendships with Tuff Hedeman (three-time World Champion) and Cody Lambert.
That Darn Cat! (1965)	A woman is kidnapped. While in captivity, she manages to send a message out with a wandering cat. The cat's owner calls the FBI. The FBI tries to follow the cat. Jealous boyfriends and nosy... See full summary »
Ladybird, Ladybird (1994)	This Ken Loach docu-drama relates the story of a British woman's fight with Social Services over the care of her children. Maggie has a history of bouncing from one abusive relationship to ... See full summary »
Bye Bye, Love (2011)	Add a Plot
Century (1993)	Paul Reisner, a young doctor, becomes a researcher in a prestigious medical institute. He feels he has a chance to be part of a movement of unending progress in science and civilization. ... See full summary »
Ma saison préférée (1993)	Old woman Berthe leaves her house to live in her daugter Emilie's one. Emilie and her brother Antoine have fallen out three years ago and have not seen each other since, but Emilie invites ... See full summary »
Pather Panchali (1955)	The story of a young boy, Apu, and life in his small Indian village. His parents are quite poor - his father Harihar, a writer and poet, gave away the family's fruit orchard to settle his ... See full summary »
Golden Earrings (1947)	On the eve of World War II (1939) English officer Ralph Denistoun is in Nazi Germany on an espionage mission to recover a poison gas formula from Prof. Krosigk. He is helped by Lydia and ... See full summary »
Foreign Correspondent (1940)	On the eve of WWII, a young American reporter tries to expose enemy agents in London.
Lady of Burlesque (1943)	After one member of their group is murdered, the performers at a burlesque house must work together to find out who the killer is before they strike again.
Angel on My Shoulder (1946)	The Devil arranges for a deceased gangster to return to Earth as a well-respected judge to make up for his previous life.
Angel and the Badman (1947)	Quirt Evans, an all round bad guy, is nursed back to health and sought after by Penelope Worth a quaker girl. He eventually finds himself having to choose between his world and the world Penelope lives in.
Outlaw (2007)	A group of people who feel betrayed by their government and let down by their police force form a modern-day outlaw posse in order to right what they see as the wrongs of society.
Beat the Devil (1953)	On their way to Africa are a group of rogues who hope to get rich there, and a seemingly innocent British couple. They meet and things happen...
Love Is All There Is (1996)	Romeo & Juliet gets transplanted to the Bronx.
A Damsel in Distress (1937)	Lady Alyce Marshmorton must marry soon, and the staff of Tottney Castle have laid bets on who she'll choose, with young Albert wagering on "Mr. X." After Alyce goes to London to meet a beau... See full summary »
Madame Butterfly (1932)	Lieutenant B.F. Pinkerton is on shore-leave in Japan. He and his buddy Lieutenant Barton, out for a night on the town, stop in at a local establishment to check out the food, drink and ... See full summary »
Sleepover (2004)	Four best friends, desperate to improve their social status, enter into an all-night scavenger hunt against the popular clique in their school.
Here Comes Cookie (1935)	Alarmed that his younger daughter is about to marry a gold-digger, a millionaire turns over the fortune to her ditsy older sister for safe-keeping to his ultimate regret. protection.
Les voleurs (1996)	In the middle of the night, someone brings Ivan's body home to his wife and his sad-faced, jug-eared son. Through flashbacks, the film discloses the relationships among Ivan and his brother... See full summary »
Fantovo zivljenje (1993)	The story about the relationship between a rebellious 50s teenager and his abusive father, based on the memoirs of writer and literature professor Tobias Wolff.
The Stars Fell on Henrietta (1995)	The setting is early America during the oil boom. An elderly, down on his luck 'oil man', Mr. Cox finds himself in the town of Henrietta. Using unconventional methods, he convinces himself ... See full summary »
Last Summer in the Hamptons (1995)	Filmed entirely on location in East Hampton, Long Island, "Last Summer in the Hamptons" concerns a large theatrical family spending the last weekend of their summer together at the ... See full summary »
Margaret's Museum (1995)	In a town where half the men die down the coalpit, Margaret MacNeil is quite happy being single. Until she meets Neil Currie, a charming and sincere bagpipe-playing, Gaelic-speaking ... See full summary »
The Saint of Fort Washington (1993)	Matthew, a young schizophrenic, finds himself out on the street when a slumlord tears down his apartment building. Soon, he finds himself in even more dire straits, when he is threatened by... See full summary »
The Cure (1995)	Dexter, age 11, who has AIDS, and his next door neighbor Eric, a little older and much bigger, become best friends. Eric also becomes closer to Dexter's mother than to his own, who is ... See full summary »
Tom and Huck (1995)	A mischievous young boy, Tom Sawyer (Jonathan Taylor Thomas),witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn (Brad Renfro), a boy with no future and no... See full summary »
Gumby 1 (1995)	In this offshoot of the 1950s "claymation" cartoon series, the crazy Blockheads threaten to ruin Gumby's benefit concert by replacing the entire city of Clokeytown with robots.
Hideaway (1995)	Hatch Harrison had a traffic accident with his car. At first the doctors said he was dead but then they succeeded to bring him back to life after two hours. But Hatch starts to have strange... See full summary »
Visitors (2013)	Director Godfrey Reggio reveals humanity's trance-like relationship with technology, which, when commandeered by extreme emotional states, produces massive effects far beyond the human species.
A Little Princess (1995)	A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.
Nina Takes a Lover (1994)	When Ninas husband goes off for a few weeks to work, she meets and starts seeing a photographer. This story is told as an interview by a journalist writing about adultery who is talking ... See full summary »
Bhaji on the Beach (1993)	A group of women of Indian descent take a trip together from their home in Birmingham, England to the beach resort of Blackpool. The women vary in ages from mid-teens to old, and initially ... See full summary »
Raw Deal (1986)	A former FBI agent turned small town sheriff agrees to help the FBI chief infiltrate the Chicago mafia when the FBI chief's son is killed by the Chicago Mafia.
Nightwatch (2015– )	Follow the men and women who keep the citizens of New Orleans safe during the night. Ride along with the police officers, the firefighters, and the paramedics as they tackle the evils of the night.
Dead Presidents (1995)	A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.
Reckless (2014– )	In sultry Charleston, where summer is long and secrets simmer behind every door, sex and crime walk hand in hand as two adversaries, a gorgeous Yankee litigator and a southern City Attorney... See full summary »
Herbie Rides Again (1974)	The living Volkswagen Beetle helps an old lady protect her home from a corrupt developer.
S.F.W. (1994)	An alienated and misanthropic teenager gains sudden and unwanted celebrity status after he's taken hostage by terrorists where his indifference to their threats to kill him makes news headlines.
The Gate of Heavenly Peace Season 14, Episode 12	Add a Plot
Moz z zelezno masko (1998)	The cruel King Louis XIV of France has a secret twin brother who he keeps imprisoned. Can the twin be substituted for the real king?
The Jerky Boys (1995)	When two unemployed telephone pranksters decide to use their vocal "talents" to impersonate a Chicago mob boss and curry favor with organized crime in New York, the trouble begins. It isn't... See full summary »
Le colonel Chabert (1994)	Colonel Chabert has been severely wounded in the French-Russian Napoleonic war to the point that the medical examiner has signed his death certificate. When he regains his health and memory... See full summary »
Girl in the Cadillac (1995)	A runaway meets up with a young man in the bus station who leads her to a rendezvous with two others who are planning a bank robbery. She is convinced to drive the getaway car for $5,000 ... See full summary »
Even Cowgirls Get the Blues (1993)	Sissy Hankshaw is born with enormous thumbs that help her hitchhiking through the US from a young age. She becomes a model in advertising and her NY agent 'the Countess' sends her to his ... See full summary »
Germinal (1993)	In mid-nineteenth-century northern France, a coal mining town's workers are exploited by the mine's owner. One day, they decide to go on strike, and the authorities repress them.
Zasledovalci (1994)	A hapless Navy grunt is assigned SP duty. The catch : he must escort a beautiful female prisoner on her way to prison for going UA. She in turn will try anything to escape.
Faust: Eine deutsche Volkssage (1926)	The demon Mephisto wagers with God that he can corrupt a mortal man's soul.
Tough and Deadly (1995)	Elmo Freech is a private investigator and was contracted by John Portland, a CIA agent who suffers amnesia, in oder to reveale a dubious case of drug smuggling in which are involved big ... See full summary »
Okno v Parizh (1993)	Nikolai (played by Sergei Dontsov) has been fired from his job as a music teacher and has to live in the gym until he finds a place to stay. Finally, he gets a communal room in the ... See full summary »
A Modern Affair (1995)	"A Modern Affair" is a romantic comedy about the strain of contemporary relationships, one woman's urgent desire for parenthood, and a solution to it all. Grace Rhodes is the perfect ... See full summary »
Il mostro (1977)	Add a Plot
Flirt (1995)	The same situation is played out in different cities (New York, Berlin and Tokyo). A lover has to choose whether to commit to a partner who is returning home. In each case there are other ... See full summary »
Carpool (1996)	A man with an important business meeting finds himself having to take care of the carpool for the neighborhood school children when his wife gets sick. Stopping to get donuts for the kids, ... See full summary »
The Line King: The Al Hirschfeld Story (1996)	The childhood, adolescence, and incredible adult years of Al Hirshfeld, celebrated creator of thousands of line drawings of famous people - many in the entertainment industry - over a span ... See full summary »

Grosse fatigue (1994)	What is going on here?!? French director, Michel Blanc (as Himself), just doesn't understand why his life is suddenly falling apart. This nightmarish comedy-thriller is all about identity. ... See full summary »
Santa with Muscles (1996)	An evil millionaire (Hulk Hogan) gets amnesia and then belives that he is Santa Claus.
Kavkazskiy plennik (1996)	Two Russian soldiers, one battle-seasoned and the other barely into his boots and uniform, are taken prisoner by an anxious Islamic father from a remote village hoping to trade them for his captured son.
Naked in New York (1993)	Naked in New York begins in the car of grown up Jake, he is talking to us about his girlfriend, Joanne, (watch for the facial expressions) and to whom you can turn to for help while facing ... See full summary »
Gold Diggers: The Secret of Bear Mountain (1995)	A city girl teams up with a tomboy to solve the mystery of Bear Mountain, Molly Morgan, and the buried treasure as well as learn about true friendships.
Der bewegte Mann (1994)	Thrown out by his girlfriend from her apartment, Axel lives for a while with Norbert, a gay man he met some days before.
Killer: A Journal of Murder (1995)	Carl Panzram is sent to Leavenworth Prison for burglary. While there, he is brutally beaten by a guard. Neophyte guard Henry Lesser feels sympathy for Panzram, befriends him, and gets him ... See full summary »

Trois vies et une seule mort (1996)	Take a walk into the weird world of filmmaker Raul Ruiz as he takes us to Paris for a twisted ride. A man which shares four names and four personalities (which is the real one?) is the link... See full summary »
The Babysitter (1995)	A teenage babysitter is the focus of two boys and a man's separate obsessions.
Getting Even with Dad (1994)	Ray, an ex-con and widower, is planning a coin heist with two accomplices to help him to buy his own bakery. However, he doesn't expect his son Timmy, who was living with Ray's sister, to ... See full summary »
Mad Dog Time (1996)	With his boss in the madhouse, a mobster is temporary boss of the criminal empire just as vicious rivals threaten the control of the empire.
Children of the Revolution (1996)	Few knew that Stalin spent his last night in the arms of a young Australian woman. Few still knew that their "love-child" brought Australia to the brink of civil war. Until now ...
A World of Apples Season 8, Episode 9	Add a Plot
Sprung (1997)	Two pairs of best friends - Montel & Clyde and Brandy & Adina meet at the party, where Clyde makes Adina think he is very rich and gets her into bed the same evening. When Adina finds out ... See full summary »
Dream with the Fishes (1997)	Terry is a suicidal voyeur who treats a dying addict to a final binge, but Terry will only do this if he promises to kill him.
Wings of Courage (1995)	While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot.
Wedding Gift (2005)	Add a Plot
Race the Sun (1996)	A bunch of high school misfits in Hawaii, introduced by their new teacher, attend a science fair in which they draw up inspiration to build their own solar car and win a trip to compete in the 1990 World Solar Challenge in Australia.
Zbogom sinko (1995)	The natural and adoptive mothers of a young boy are involved in a bitter, controversial custody battle.
New Jersey Drive (1995)	Jason and Midget are two young, black teenagers living in Newark,New Jersey, the unofficial car theft capital of the world. Their favourite pastime is that of everybody in their ... See full summary »
The Salt of the Earth (2014)	For the last 40 years, the photographer Sebastião Salgado has been travelling through the continents, in the footsteps of an ever-changing humanity. He has witnessed some of the major ... See full summary »
Mr. Wonderful (1993)	Electrician Gus gets the chance to fulfill a childhood dream by buying an old bowling-alley with some of his friends. Unfortunately, due to the alimony payments he has to make to his ... See full summary »
Trial by Jury (1994)	Valerie is a juror in the trail of a mob boss. When her young son's life is threatened, she has no option other than to see that justice isn't done.
A Good Man in Africa (1994)	Politics are already strained between English imperialists and the West African government of Kinjanja, when womanizing British diplomat Morgan Leafy (Colin Friels) is caught in bed with ... See full summary »
Jeder für sich und Gott gegen alle (1974)	Herzog's film is based upon the true and mysterious story of Kaspar Hauser, a young man who suddenly appeared in Nuremberg in 1828, barely able to speak or walk, and bearing a strange note;... See full summary »
Zelim si te (1998)	A pregnant New York social worker begins to develop romantic feelings for her gay best friend, and decides she'd rather raise her child with him, much to the dismay of her overbearing boyfriend.
Witness (1985)	A young Amish boy is sole witness to a murder; policeman John Book goes into hiding in Amish country to protect him until the trial.
Senseless (1998)	A student gets his senses enhanced by an experimental drug. But abuse is not an option.
Nowhere (1997)	The third film in a trilogy by writer-director Gregg Araki. Described as "90210 on acid", the film tells the story of a day in the lives of a group of high school kids Los Angeles and the strange lives they lead.
Podzemlje (1995)	The story follows an underground weapons manufacturer in Belgrade during WWII and evolves into fairly surreal situations. A black marketeer who smuggles the weapons to partisans doesn't ... See full summary »
Jefferson in Paris (1995)	One of the obsessive speculations in American history is whether Thomas Jefferson, in the years before he became president, had an affair with (and fathered a child with) his 15-year-old ... See full summary »
Far from Home: The Adventures of Yellow Dog (1995)	Teenage Angus adopts a stray dog and names him Yellow. Several days later, while traveling along the coast of British Columbia with Angus' father, John, the boy and dog become stranded when... See full summary »
Foreign Student (1994)	A French football playing exchange student falls in love.
De eso no se habla (1993)	Leonor, a widow in a small South American town, gives birth to Charlotte, a dwarf. The mother not only provides a rich childhood for her daughter, she erases any clues her daughter might ... See full summary »
Pankrta (1997)	Twin Town opens with wide sweeping shots of seaside Swansea; to be the place of action for the next one and a half hours. The serene setting with miles upon miles of old semi-detached ... See full summary »
L'enfer (2005)	Three sisters share a connection to a violent incident from their childhood reunite to for the chance to come to terms with their past.

First Night (2010)	Adam is a rich industrialist, who aspires to a more cultured world. Spurred on by playful jibes that he is little more than a city suit living the capitalist's dream, this frustrated ... See full summary »
All Over Me (1997)	Claude and Ellen are best friends who live in a not-so-nice area of New York. They're involved in the subculture of 90s youth, complete with drugs, live music, and homophobia. All is ... See full summary »
Being Human (2011– )	Three twenty-somethings share a house and try to live a normal life despite being a ghost, a werewolf, and a vampire.
The Amazing Panda Adventure (1995)	A young American boy visiting in China helps his zoologist father rescue a panda cub from unscrupulous poachers and save a panda reserve from officious bureaucrats.
The Beans of Egypt, Maine (1994)	The Beans are poor, proud, hated by all, but alive in the sense that they struggle against their lot and support each other in time of trouble. Earlene lives across the street from the ... See full summary »
Skrlatno znamenje (1995)	An affair between a young woman and a pastor has disastrous consequences.
Johns (1996)	It's the day before Christmas, the day before John's 21st birthday. He's a prostitute on Santa Monica Blvd in L.A., and he wants to spend that night and the next day at the posh Park Plaza ... See full summary »
It Takes Two (1995)	Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers, that accidentally meet one day. In an attempt to stop Alyssa's father from ... See full summary »
Frankie Starlight (1995)	This is a story of a man (Walker), suffering from dwarfism, who writes an autobiographical account of his life. In flashbacks, we see how he was conceived to a woman (Parillaud) at the end ... See full summary »
Duma (2005)	An orphaned cheetah becomes the best friend and pet of a young boy living in South Africa.
Oh, ta sedemdeseta (1998–2006)	A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin.
License to Kill (1984)	A grieving family whose daughter was killed in a car crash with a drunken driver is outraged and frustrated as they encounter the inevitable bureaucratic delays in bringing the case to ... See full summary »
Dream Man (1995)	Kris is a homicide cop with psychic abilities. She works to prove that the prime suspect in her latest case (the much younger husband of the millionaire victim) is innocent. But are her ... See full summary »
Destiny Turns on the Radio (1995)	Johnny Destiny burns into Las Vegas in his hot Plymouth RoadRunner, stopping only to pick up a stranger stranded in the desert. But then, things aren't always as they seem. Anything can ... See full summary »
The Glass Shield (1994)	J.J. is a rookie in the Sheriff's Department and the first black officer at that station. Racial tensions run high in the department as some of J.J.'s fellow officers resent his presence. ... See full summary »
Lov (2012)	A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.
Underneath (1995)	A recovering gambling addict attempts to reconcile with his family and friends but finds trouble and temptation when caught between feelings for his ex-wife and her dangerous hoodlum boyfriend.
Safe Passage (1994)	A mother with seven sons feels like she's losing control of her life and her family. But personal pain and a troubled marriage fade into the background as news comes that one of her sons ... See full summary »
The Secret Adventures of Tom Thumb (1993)	A boy born the size of a small doll is kidnapped by a genetic lab and must find a way back to his father in this inventive adventure filmed using stop motion animation techniques. Tom meets... See full summary »
By Dawn's Early Light (1990)	The crew of a nuclear bomber attack the Soviet Union while the President of the United States tries desperately to regain control of his military after his helicopter crashes during a ... See full summary »
Yankee Zulu (1993)	As children, Rhino and Zulu were best friends, until an incident causes them to go their separate ways. They meet up again as adults when Zulu, who has spent years in the United States, has... See full summary »
Aparajito (1957)	A boy leaves home to study in Calcutta, while his mother must face a life alone.
Hostile Intentions (1995)	Three young American women have a wild drunken fling south of the border. They find some rough folks to party with at a Mexican mansion, a Mexican jail and the U.S.-Mexican border.
Clean Slate (1994)	A private eye who has amnesia must go to court about a kingpin's murder.
Tigrero: A Film That Was Never Made (1994)	In 1993, Sam Fuller takes Jim Jarmusch on a trip into Brazil's Mato Grosso, up the River Araguaia to the village of Santa Isabel Do Morro, where 40 years before, Zanuck had sent Fuller to ... See full summary »
L'oeil de Vichy (1993)	This movie is only made of archive pictures: the official newsreels that were broadcasted on French movie screens during 1940 and 1944 (the Occupation). Those newsreels were controlled by ... See full summary »
A Promise (2013)	A romantic drama set in Germany just before WWI and centered on a married woman who falls in love with her husband's protégé. Separated first by duties and then by the war, they pledge their devotion to one another.
To Cross the Rubicon (1991)	Add a Plot
Daens (1992)	In the 1890s, Father Adolf Daens goes to Aalst, a textile town where child labor is rife, pay and working conditions are horrible, the poor have no vote, and the Catholic church backs the ... See full summary »
The Man from Down Under (1943)	Add a Plot
Careful (1992)	In the Alpine village of Tolzbad in the 1800s, the townsfolk talk quietly and restrain their movements lest they incur avalanches. This atmosphere lends itself to repressed emotions - shown... See full summary »
Vermont Is for Lovers (1992)	Add a Plot
La vie est belle (1956)	Add a Plot
Quartier Mozart (1992)	Add a Plot
Touki Bouki (1973)	Mory, a cowherd who rides a motorcycle mounted with a cow's skull, and Anta, a university student, have met in Dakar, Senegal's capital. Alienated and disaffected with Senegal and Africa, ... See full summary »
Wend Kuuni (1983)	In pre-colonial times a peddler crossing the savanna discovers a child lying unconscious in the bush. When the boy comes to, he is mute and cannot explain who he is. The peddler leaves him ... See full summary »
Histoires extraordinaires (1968)	Three directors each adapt a Poe short story to the screen: "Toby Dammit" features a disheveled drugged and drunk English movie star who nods acceptance in the Italian press and his ... See full summary »
Pharaoh's Army (1995)	During the American Civil War, a Union Army captain leads his rag-tag cavalry troop up a misty creek to a remote farm to appropriate enemy (Confederate) livestock. The farm is worked by ... See full summary »
Yo, la peor de todas (1990)	A viceroy and an archbishop take their posts in Mexico. A local nun, Sor Juana Inés de la Cruz (1651-1695), intrigues them. The viceroy and his wife find her brilliant and fascinating. The ... See full summary »
Hol volt, hol nem volt (1987)	Shot in B&W;, Gyula Gazdag's film follows the surreal and often comic quests of young Andris, an orphan searching for a father who doesn't exist, and Orban, a government clerk who's had ... See full summary »
La mort en ce jardin (1956)	Chark, an adventurer comes to small village in the near of a gold digger's camp. He is arrested by the local police, who accuse him of having comitted a bank robbery in a neighoured town. ... See full summary »
La collectionneuse (1967)	A womanizing art dealer and a painter find the serenity of their Riviera vacation disturbed by a third guest, a vivacious bohemian woman known for her long list of male conquests.
Baton Rouge (1988)	Isabel, donna ricca e matura, è ossessionata da un presunto blocco sessuale e cerca di farsi curare dalla giovane psichiatra Ana. Nel frattempo, Antonio, giovane e affascinante, la seduce ... See full summary »
Christine (1958)	Vienna, 1906. A passionate love story develops between Franz Lobheiner (Alain Delon) and the young Christine (Romy Schneider). Lobheiner is, however, currently seeing the married Baroness ... See full summary »
The Woman in Question Season 2, Episode 46	Add a Plot
T-Men (1947)	Two US Treasury agents hunt a successful counterfeiting ring.
The Invitation (2015)	While attending a dinner party at his former home, a man thinks his ex-wife and her new husband have sinister intentions for their guests.
Symphonie Pastorale (1958)	Tragedy results when a pastor falls in love with a blind orphan.
Lucky Louie (2006– )	A working class family and their oddball friends.

Terror in a Texas Town (1958)	A Swedish whaler is out for revenge when he finds out that a greedy oil man murdered his father for their land.
Salut cousin! (1996)	Salut Cousin! is the tale of two Algerian cousins and their mishaps in the racially volatile environment of Paris.
Schizopolis (1996)	Fletcher Munson, the lethargic employee of a pseudo-religious self help company, and his doppelganger, the friendly but dull dentist Dr. Jeffrey Korchek.
The Haves and the Have Nots (2013– )	The Haves and the Have Nots is a prime time cable drama by writer Tyler Perry, focusing on the interacting lives of the rich Cryer and Harrington families, and the poor Young family. Hanna ... See full summary »
Chi luo tian shi (1995)	A young Chinese woman is struggling with her inner torment.
Magic Hour (2015)	During a hot summer in 1990, a young man, Ray, moves into his aunt's Venice Beach home to find his direction in life. While there, he is befriended by some local criminals, a group of five brothers that soon become his surrogate family.
Death in Brunswick (1990)	Carl Fitzgerald is down-on-his-luck until he meets Sophie, a beautiful Greek girl. He gets a job as a cook, but accidentally kills fellow worker Mustafa. He turns to his unscrupulous best ... See full summary »
Everest (2015)	A climbing expedition on Mt. Everest is devastated by a severe snow storm.
Chopping Mall (1986)	Eight teenagers are trapped after hours in a high tech shopping mall and pursued by three murderous security robots out of control.
Nemesis 2: Nebula (1995)	It has been 73 years since Alex failed and the Humans lost the Cyborg Wars. Since then, the Humans have been enslaved. Scientists have developed a new DNA strain, which could signal the end... See full summary »
Romper Stomper (1992)	A group of skinheads become alarmed at the way their neighbourhood is changing.
City of Industry (1997)	A retired thief swears revenge on the lunatic who murdered his brother and partner, while going on the run with the loot they stole.
Someone Else's America (1995)	This tale take place in a bar. The Spanish Alonso and his blind mother run this place. Bay, who is Alonso's friend live here too. This story tells something about Alonso and Bay and the "... See full summary »
Guantanamera (1995)	It is a satire about life in Cuba. The members of a funeral procession and some truckdrivers who have to take the same route begin to talk about god and the world ending up in discovering ... See full summary »
Office Killer (1997)	A mousy office worker accidentally kills one of her coworkers, then proceeds to bump off a few others.
A Price Above Rubies (1998)	About a young woman who is married to a devout Jew and the problems that trouble their marriage because of the woman wanting something more out of her life

He Walked by Night (1948)	This film-noir piece, told in semi-documentary style, follows police on the hunt for a resourceful criminal who shoots and kills a cop.
Love Serenade (1996)	In Sunray, a backwater town on Australia's Murray River, there's little to do but fish or listen to the local radio station. D.J. Ken Sherry arrives from the hustle of Brisbane to run the ... See full summary »
Deceiver (1997)	Textile company heir Wayland is accused of murder of a prostitute named Elizabeth, whose body was found cut in two in the park. The murder is investigated by tough detective Kennesaw and ... See full summary »
Hurricane (1997)	Marcus is a kid on Manhattan's mean streets. He's turning 15, his father is dead, his mother is in prison for smuggling undocumented aliens. His grandmother is raising him. He has four ... See full summary »

B*A*P*S (1997)	Two tacky homegirls move to L.A. to become dancers; instead they scam a dying millionaire but eventually become B*A*P*S (Black American Princesses).
Truth or Consequences, N.M. (1997)	A group of crooks, an ex con, his friend and a gun crazy gangster plan a drug heist, but not everything goes as planned.
Intimate Relations (1996)	Harold Guppy moves into the Beasley household as a lodger. Before long Mrs. Beasley falls for him and eventually ends up in his bed. Her 13-year old daughter Joyce is aware of what is ... See full summary »
The Leading Man (1996)	Successful playwright Felix Webb has a new play, 'The Hit Man', in rehearsal. Directed by his old friend Humphrey, it is already being hailed as a masterpiece; but Felix can't enjoy his ... See full summary »
Tokyo Fist (1995)	A businessman, Tsuda, runs into a childhood friend, Tajuki, on the subway. Tajuki is working as a semiprofessional boxer. Tsuda soon begins to suspect that Tajuki might be having an affair ... See full summary »
The Reluctant Debutante (1958)	A teenage American girl while visiting her father, is thrown into London society during the "Debutante Season".
Warriors of Virtue (1997)	A young boy is whisked away to the mythical land of Tao where he becomes the center of a conflict between an evil lord and a group of animal warriors.
Desert Winds (1995)	Jackie and Eugene are joined by a mystical wind tunnel which enables them to speak across a 500-mile desert. Believed by the Indians to be an omen of good luck, the wind inspires both ... See full summary »
Hugo Pool (1997)	Hugo Pool is a quirky tale of a Los Angeles pool cleaner who falls in love with a young man dying of Lou Gerhig's Disease.
King of New York (1990)	A former drug lord returns from prison determined to wipe out all his competition and distribute the profits of his operations to New York's poor and lower classes in this stylish and ultra violent modern twist on Robin Hood.
Vse v redu (1995)	Malmö, Sweden during the Second World War. Stig is a 15 year old pupil on the verge of adulthood. Viola is 37 years old and his teacher. He is attracted by her beauty and maturity. She is ... See full summary »
